,book_title,author,publisher,published_date,ISBN_10,ISBN_13,page_count,average_rating,rating_count,country,amount,currency,published_year
0,Harry Potter and the Philosopher's Stone,['J. K. Rowling'],Bloomsbury Publishing,2014-01-09,1408855895,9781408855898,352,,,,,,2014
1,Harry Potter and the Sorcerer's Stone,['J. K. Rowling'],Arthur A. Levine Books,2018-06-26,133829914X,9781338299144,336,4.5,1551,,,,2018
3,Harry Potter and the Philosopher's Stone - Ravenclaw Edition,['Joanne K. Rowling'],Bloomsbury Childrens,2017-06,1408883775,9781408883778,368,,,,,,2017
4,Harry Potter and the Philosopher's Stone (Irish),['J.K. Rowling'],Bloomsbury Children's Books,2015-01-29,1408866196,9781408866191,272,5,6,,,,2015
5,Harry Potter and the Philosopher's Stone - Slytherin Edition,['J. K. Rowling'],Bloomsbury Childrens,2017-06,1408883767,9781408883761,350,5,1,,,,2017
6,Harry Potter and the Philosopher's Stone - Hufflepuff Edition,['J. K. Rowling'],Bloomsbury Children's Books,2017-06,1408883805,9781408883808,350,,,,,,2017
8,Harry Potter and the Philosopher's Stone: MinaLima Edition,['J. K. Rowling'],Bloomsbury Children's Books,2020-10-20,1526626586,9781526626585,368,,,,,,2020
9,Harry Potter and the Philosopher's Stone,['J. K. Rowling'],Bloomsbury Harry Potter,2015-01-29,1408866161,9781408866160,256,,,,,,2015
10,The Little Prince,['Antoine de Saint-Exupéry'],Egmont Books Limited,2005,1405216344,9781405216340,83,,,,,,2005
11,The Pilot and the Little Prince,['Peter Sís'],Macmillan,2014-05-27,0374380694,9780374380694,48,4,7,,,,2014
12,The Little Prince,['Antoine De Saint-Exupéry'],CreateSpace,2015-05-11,151214858X,9781512148589,68,4,1910,,,,2015
13,The Little Prince Read-Aloud Storybook,['Antoine de Saint-Exupéry'],Houghton Mifflin Harcourt,2016-04-12,0544931815,9780544931817,40,,,US,6.99,USD,2016
15,The Little Prince Family Storybook,['Antoine De Saint-exupry'],Harcourt Brace,2015-11-17,0544792564,9780544792562,64,,,,,,2015
16,Meet the Little Prince (Padded Board Book),['Antoine de Saint-Exupery'],HMH Books For Young Readers,2015-10-13,0544709020,9780544709027,10,,,,,,2015
17,The Little Prince by Antoine de Saint-Exupéry,['Antoine de Saint-Exupéry'],Classics Press,2019-11-04,1938412478,9781938412479,117,,,US,1.99,USD,2019
18,Counting with the Little Prince,['Antoine De Saint-Exupery'],HMH Books For Young Readers,2015-10-13,0544699599,9780544699595,10,,,,,,2015
19,Travels with the Little Prince (Tabbed Board Book),['Antoine de Saint-Exupery'],HMH Books For Young Readers,2015-10-13,0544709012,9780544709010,10,,,,,,2015
20,The Dream of the Red Chamber,['Cao Xue Qin'],Createspace Independent Publishing Platform,2017-11,1979343748,9781979343749,286,,,,,,2017
23,The Dream of the Red Chamber,['Cao Xue Qin'],Createspace Independent Publishing Platform,2016-05-09,3842496559,9781541180413,824,3.5,4,,,,2016
24,"Hung Lou Meng, Book I the Dream of the Red Chamber, a Chinese Novel in Two Book",['Cao Xue Qin'],Createspace Independent Publishing Platform,2016-12-19,,9798697764350,360,,,,,,2016
26,"Hung Lou Meng, Book I Or, the Dream of the Red Chamber, a Chinese Novel in Two Books",['Xueqin Cao'],tredition,2012-02-06,9813170085,,508,,,US,5.63,USD,2012
28,Dream of the Red Chamber,['Cao Xueqin'],The Floating Press,2009-12-01,,9789813170087,2119,4,1,US,5.99,USD,2009
29,A Dream of Red Mansions,['Cao Xueqin'],Asiapac Books Pte Ltd,1994,,,2556,5,1,US,3.99,USD,1994
30,The Hobbit,['J.R.R. Tolkien'],Houghton Mifflin Harcourt,2012-02-15,0547951973,9780547951973,288,4.5,145,US,9.99,USD,2012
32,"The Hobbit, Or, There and Back Again",['John Ronald Reuel Tolkien'],Mariner Books,1997,0618002219,9780618002214,271,4.5,21,,,,1997
33,The Hobbit: Deluxe Pocket Edition,['J. R. R. Tolkien'],Houghton Mifflin Harcourt,2012-10-30,0544045521,9780544045521,300,,,,,,2012
34,"Exploring J.R.R. Tolkien's ""The Hobbit""",['Corey Olsen'],Houghton Mifflin Harcourt,2012-09-18,0547739672,9780547739670,320,4,7,US,9.99,USD,2012
35,The Hobbit and TolkienÕs Mythology,['Bradford Lee Eden'],McFarland,2014-10-13,0786479604,9780786479603,244,,,,,,2014
37,The Art of the Hobbit by J.R.R. Tolkien,"['Wayne G. Hammond', 'John Ronald Reuel Tolkien', 'Christina Scull']",Houghton Mifflin,2011,0547928254,9780547928258,143,,,,,,2011
38,The Hobbit: Illustrated by Alan Lee,['J. R. R. Tolkien'],HarperCollins UK,2012-11-08,0007487312,9780007487318,400,5,1,,,,2012
39,The Annotated Hobbit,"['John Ronald Reuel Tolkien', 'Douglas Allen Anderson']",Houghton Mifflin Harcourt,2002,0618134700,9780618134700,398,4.5,9,,,,2002
40,And Then There Were None,['Agatha Christie'],Macmillan,2004-05-03,0312330871,9780312330873,264,4,2130,,,,2004
42,And Then There Were None,['Agatha Christie'],HarperCollins UK,2003,0008392943,9780008392949,317,3.5,2,,,,2003
43,And Then There Were None: B2 (Collins Agatha Christie ELT Readers),['Agatha Christie'],Collins,2020-09-03,0062490370,9780062490377,128,,,,,,2020
44,And Then There Were None,['Agatha Christie'],William Morrow Paperbacks,2016-02-23,1408495066,9781408495063,272,4,2304,,,,2016
